Sembol,Alis_Tarihi,Satis_Tarihi,Alis_Fiyati,Satis_Fiyati,Sonuc,Net_PNL,Kasa_Etkisi
OXY,2024-07-15,2024-07-24,60.14,58.26,ZARAR (SL),-314.29,129726.88
OXY,2024-10-03,2024-10-15,53.37,50.22,ZARAR (SL),-592.52,129131.36
OXY,2025-01-21,2025-01-28,49.46,47.94,ZARAR (SL),-309.63,128818.73
OXY,2025-02-19,2025-02-25,49.89,47.84,ZARAR (SL),-414.85,128400.89
OXY,2025-05-08,2025-05-12,40.75,43.13,KAR (TP),580.98,128978.87
OXY,2025-06-03,2025-06-11,41.98,44.34,KAR (TP),559.26,129535.12
OXY,2025-06-16,2025-06-23,44.83,43.46,ZARAR (SL),-307.44,129224.69
OXY,2025-07-08,2025-07-15,45.24,42.22,ZARAR (SL),-671.85,128549.84
OXY,2025-07-29,2025-07-31,44.96,43.45,ZARAR (SL),-337.36,128209.48
OXY,2025-09-03,2025-10-02,45.79,43.97,ZARAR (SL),-399.02,127807.45
OXY,2025-11-12,2025-12-15,41.69,40.19,ZARAR (SL),-362.29,127442.16
SLB,2024-04-03,2024-04-12,52.17,49.45,ZARAR (SL),-524.33,126914.84
SLB,2024-07-15,2024-08-02,45.89,43.0,ZARAR (SL),-634.78,126277.06
SLB,2024-10-17,2024-10-18,42.37,40.38,ZARAR (SL),-473.56,125800.5
SLB,2024-11-25,2024-12-05,42.14,40.73,ZARAR (SL),-337.54,125459.96
SLB,2025-01-23,2025-01-31,40.74,39.04,ZARAR (SL),-419.37,125037.59
SLB,2025-02-21,2025-03-03,40.74,38.87,ZARAR (SL),-462.99,124571.6
SLB,2025-03-07,2025-03-11,40.38,39.12,ZARAR (SL),-314.82,124253.78
SLB,2025-03-27,2025-04-03,41.09,38.27,ZARAR (SL),-689.46,123561.32
SLB,2025-06-16,2025-06-23,35.35,33.2,ZARAR (SL),-610.07,122948.25
SLB,2025-07-01,2025-07-11,34.65,36.72,KAR (TP),596.43,123541.68
SLB,2025-07-23,2025-07-31,34.59,33.27,ZARAR (SL),-384.33,123154.35
SLB,2025-09-03,2025-09-22,34.73,33.65,ZARAR (SL),-311.57,122839.78
SLB,2025-10-22,2025-10-29,34.63,36.54,KAR (TP),550.01,123386.78
SLB,2025-12-03,2025-12-10,37.55,39.93,KAR (TP),630.82,124014.61
COP,2024-02-08,2024-02-13,107.09,103.21,ZARAR (SL),-365.6,123644.51
COP,2024-02-15,2024-03-13,105.11,111.31,KAR (TP),587.09,124228.6
COP,2024-07-17,2024-07-22,110.62,107.04,ZARAR (SL),-326.92,123898.68
COP,2024-09-19,2024-09-25,106.11,101.49,ZARAR (SL),-439.0,123456.68
COP,2024-11-06,2024-11-25,109.07,102.55,ZARAR (SL),-600.43,122853.25
COP,2025-01-23,2025-01-31,100.51,95.53,ZARAR (SL),-499.2,122351.05
COP,2025-03-20,2025-04-03,99.69,92.81,ZARAR (SL),-693.06,121654.99
COP,2025-05-12,2025-05-21,89.91,85.64,ZARAR (SL),-477.51,121174.49
COP,2025-06-18,2025-06-24,92.18,87.84,ZARAR (SL),-473.15,120698.33
COP,2025-07-01,2025-07-28,90.4,95.34,KAR (TP),543.8,121239.13
COP,2025-07-30,2025-08-01,95.0,91.16,ZARAR (SL),-407.47,120828.66
COP,2025-08-12,2025-08-29,92.95,98.06,KAR (TP),546.37,121372.03
COP,2025-11-12,2025-12-04,88.25,93.12,KAR (TP),548.7,121917.74
COP,2025-12-05,2025-12-16,93.69,90.77,ZARAR (SL),-314.67,121600.07
COP,2025-12-17,2025-12-19,94.96,91.94,ZARAR (SL),-321.03,121276.04
PSX,2024-01-26,2024-02-05,130.86,137.41,KAR (TP),497.64,121770.68
PSX,2024-03-06,2024-03-13,137.96,145.2,KAR (TP),521.63,122289.31
PSX,2024-03-14,2024-03-28,145.12,153.54,KAR (TP),577.39,122863.7
PSX,2024-06-28,2024-07-08,133.75,128.81,ZARAR (SL),-372.77,122487.93
PSX,2024-07-31,2024-08-01,137.84,133.55,ZARAR (SL),-314.38,122170.55
PSX,2024-08-30,2024-09-03,134.05,128.97,ZARAR (SL),-381.45,121786.1
PSX,2025-01-27,2025-01-31,118.63,113.61,ZARAR (SL),-426.3,121356.8
PSX,2025-02-04,2025-02-18,119.14,125.57,KAR (TP),536.6,121890.4
PSX,2025-02-19,2025-03-04,125.26,118.93,ZARAR (SL),-508.4,121379.0
PSX,2025-05-21,2025-06-10,109.75,116.55,KAR (TP),616.07,121992.08
PSX,2025-06-23,2025-07-03,118.84,124.98,KAR (TP),514.23,122503.3
PSX,2025-07-08,2025-07-16,127.64,121.43,ZARAR (SL),-489.92,122010.38
PSX,2025-07-28,2025-07-31,125.38,121.34,ZARAR (SL),-324.87,121682.51
PSX,2025-09-10,2025-09-25,130.31,137.91,KAR (TP),579.86,122259.37
PSX,2025-10-29,2025-11-20,136.84,131.99,ZARAR (SL),-357.18,121899.19
PSX,2025-12-03,2025-12-16,139.85,131.78,ZARAR (SL),-580.05,121316.15
MPC,2024-01-26,2024-01-30,153.9,162.88,KAR (TP),580.73,121893.87
MPC,2024-01-31,2024-03-01,158.77,166.87,KAR (TP),507.55,122398.42
MPC,2024-03-04,2024-03-13,167.39,181.98,KAR (TP),868.37,123263.79
MPC,2024-08-06,2024-08-15,165.42,174.97,KAR (TP),573.98,123834.77
MPC,2024-08-16,2024-08-20,174.27,166.12,ZARAR (SL),-470.7,123361.07
MPC,2024-08-30,2024-09-04,172.28,167.06,ZARAR (SL),-306.18,123051.88
MPC,2024-11-13,2024-12-04,154.76,147.13,ZARAR (SL),-495.94,122552.94
MPC,2025-01-24,2025-01-31,148.32,142.54,ZARAR (SL),-392.16,122157.79
MPC,2025-02-04,2025-02-06,153.5,148.63,ZARAR (SL),-320.38,121834.41
MPC,2025-02-11,2025-02-12,151.93,145.97,ZARAR (SL),-395.14,121436.27
MPC,2025-02-13,2025-02-26,150.74,143.95,ZARAR (SL),-453.91,120979.36
MPC,2025-05-30,2025-06-17,159.05,168.29,KAR (TP),578.06,121554.42
MPC,2025-06-18,2025-07-03,165.66,174.2,KAR (TP),512.47,122063.89
MPC,2025-07-11,2025-07-16,177.97,170.56,ZARAR (SL),-419.44,121641.46
MPC,2025-08-22,2025-08-29,170.02,178.81,KAR (TP),513.74,122152.19
MPC,2025-09-19,2025-09-25,184.53,195.46,KAR (TP),589.04,122738.23
MPC,2025-10-29,2025-11-04,194.77,182.86,ZARAR (SL),-614.49,122120.74
MPC,2025-11-06,2025-12-12,191.75,185.77,ZARAR (SL),-315.09,121802.65
WMB,2024-02-21,2024-03-05,32.08,33.94,KAR (TP),576.58,122376.23
WMB,2024-04-10,2024-04-16,36.44,35.29,ZARAR (SL),-319.36,122053.87
WMB,2024-05-06,2024-05-17,36.61,38.68,KAR (TP),562.8,122613.67
WMB,2024-05-31,2024-06-24,38.91,40.88,KAR (TP),502.93,123113.6
WMB,2024-06-28,2024-07-22,40.3,42.45,KAR (TP),531.12,123641.72
WMB,2024-07-23,2024-07-24,41.79,40.29,ZARAR (SL),-363.71,123275.01
WMB,2024-07-29,2024-08-05,40.7,39.1,ZARAR (SL),-396.66,122875.35
WMB,2024-08-07,2024-08-23,40.77,42.94,KAR (TP),529.56,123401.91
WMB,2024-09-04,2024-09-23,42.15,44.29,KAR (TP),505.91,123904.82
WMB,2024-09-24,2024-10-04,44.11,47.56,KAR (TP),779.1,124680.91
WMB,2024-10-31,2024-11-06,50.18,53.02,KAR (TP),562.21,125240.12
WMB,2024-11-13,2024-11-19,53.28,56.15,KAR (TP),536.57,125773.69
WMB,2024-11-26,2024-12-02,55.93,54.09,ZARAR (SL),-331.94,125438.75
WMB,2025-01-13,2025-01-16,54.16,57.2,KAR (TP),559.2,125994.95
WMB,2025-02-28,2025-03-05,56.24,54.34,ZARAR (SL),-339.89,125652.07
WMB,2025-03-21,2025-04-04,58.12,53.22,ZARAR (SL),-846.96,124802.11
WMB,2025-05-06,2025-06-26,57.25,61.83,KAR (TP),797.27,125596.38
WMB,2025-06-27,2025-07-01,61.63,57.75,ZARAR (SL),-633.28,124960.1
WMB,2025-07-31,2025-08-07,58.96,56.93,ZARAR (SL),-346.62,124610.48
WMB,2025-09-16,2025-09-23,57.47,60.89,KAR (TP),590.62,125198.09
WMB,2025-11-21,2025-12-04,59.12,63.14,KAR (TP),676.42,125871.51
WMB,2025-12-05,2025-12-10,62.29,60.0,ZARAR (SL),-370.78,125497.73
KMI,2024-02-16,2024-03-11,15.74,16.53,KAR (TP),499.63,125994.36
KMI,2024-03-14,2024-04-03,16.15,17.06,KAR (TP),560.78,126552.15
KMI,2024-04-18,2024-05-09,16.75,17.76,KAR (TP),599.79,127148.93
KMI,2024-05-31,2024-07-17,18.21,19.18,KAR (TP),530.61,127676.54
KMI,2024-07-24,2024-08-05,19.66,19.01,ZARAR (SL),-335.62,127337.92
KMI,2024-08-30,2024-09-11,20.42,19.72,ZARAR (SL),-346.07,126988.85
KMI,2024-09-19,2024-10-02,20.44,21.72,KAR (TP),622.29,127608.14
KMI,2024-11-05,2024-11-06,23.67,25.24,KAR (TP),660.7,128265.84
KMI,2024-12-05,2024-12-09,26.79,25.96,ZARAR (SL),-314.05,127948.79
KMI,2025-01-02,2025-01-16,26.92,28.79,KAR (TP),690.7,128636.49
KMI,2025-03-21,2025-04-04,27.03,24.48,ZARAR (SL),-948.22,127685.27
KMI,2025-05-05,2025-06-02,26.29,28.03,KAR (TP),659.45,128341.72
KMI,2025-06-20,2025-07-21,27.41,26.53,ZARAR (SL),-324.31,128014.41
KMI,2025-08-04,2025-08-06,27.96,26.45,ZARAR (SL),-544.02,127467.39
KMI,2025-09-19,2025-10-23,27.11,25.96,ZARAR (SL),-429.7,127034.69
ETN,2024-01-29,2024-02-01,243.23,258.73,KAR (TP),634.26,127664.46
ETN,2024-03-13,2024-03-21,294.53,309.52,KAR (TP),505.93,128167.38
ETN,2024-03-26,2024-04-05,306.15,324.23,KAR (TP),587.55,128751.94
ETN,2024-04-09,2024-04-19,307.9,297.26,ZARAR (SL),-348.69,128400.25
ETN,2024-04-24,2024-05-15,312.73,332.53,KAR (TP),630.04,129027.29
ETN,2024-05-31,2024-06-04,327.5,311.09,ZARAR (SL),-504.13,128520.16
ETN,2024-07-10,2024-07-17,321.81,306.49,ZARAR (SL),-479.04,128038.12
ETN,2024-07-22,2024-07-24,315.17,294.78,ZARAR (SL),-649.85,127385.26
ETN,2024-09-11,2024-09-18,293.35,310.63,KAR (TP),586.28,127968.55
ETN,2024-09-19,2024-10-14,324.72,341.2,KAR (TP),504.42,128469.97
ETN,2024-10-15,2024-11-06,333.72,355.59,KAR (TP),652.27,129119.23
ETN,2024-11-07,2024-12-17,356.96,343.61,ZARAR (SL),-376.86,128739.37
ETN,2025-05-02,2025-05-12,297.8,321.15,KAR (TP),781.14,129517.51
ETN,2025-05-30,2025-06-16,319.27,337.03,KAR (TP),553.21,130067.73
ETN,2025-06-18,2025-06-27,333.89,352.2,KAR (TP),545.59,130610.32
ETN,2025-07-21,2025-07-28,372.57,391.62,KAR (TP),508.16,131115.48
ETN,2025-08-01,2025-08-05,380.18,355.41,ZARAR (SL),-654.47,130458.0
