Hisse,Tarih,Net Kar,Yüzde,Süre (Gün),Sebep
CB,2025-04-04,-5.62,-4.28,24,TREND KIRILIMI (SMA 20 Altı)
CME,2025-04-04,-2.63,-2.05,23,TREND KIRILIMI (SMA 20 Altı)
T,2025-04-04,-3.02,-2.36,11,TREND KIRILIMI (SMA 20 Altı)
VZ,2025-04-04,-6.87,-5.41,7,TREND KIRILIMI (SMA 20 Altı)
CI,2025-04-07,-4.15,-3.41,3,TREND KIRILIMI (SMA 20 Altı)
MDLZ,2025-04-07,-3.48,-2.86,3,TREND KIRILIMI (SMA 20 Altı)
EXC,2025-04-08,-2.03,-1.72,1,TREND KIRILIMI (SMA 20 Altı)
KR,2025-04-09,-3.94,-3.24,5,TREND KIRILIMI (SMA 20 Altı)
UNH,2025-04-17,-22.24,-19.19,9,TREND KIRILIMI (SMA 20 Altı)
CVS,2025-04-17,-2.08,-1.8,9,TREND KIRILIMI (SMA 20 Altı)
VZ,2025-04-21,-4.33,-3.86,4,TREND KIRILIMI (SMA 20 Altı)
TMUS,2025-04-21,-5.17,-4.6,4,TREND KIRILIMI (SMA 20 Altı)
DG,2025-05-01,-3.45,-2.84,27,TREND KIRILIMI (SMA 20 Altı)
KO,2025-05-01,0.39,0.34,22,TREND KIRILIMI (SMA 20 Altı)
WMT,2025-05-21,2.82,2.55,30,TREND KIRILIMI (SMA 20 Altı)
AMZN,2025-06-23,2.13,1.82,33,TREND KIRILIMI (SMA 20 Altı)
NFLX,2025-07-10,23.46,21.24,80,TREND KIRILIMI (SMA 20 Altı)
MSFT,2025-08-18,19.21,17.17,109,TREND KIRILIMI (SMA 20 Altı)
AVGO,2025-08-19,45.86,40.99,110,TREND KIRILIMI (SMA 20 Altı)
NVDA,2025-08-19,21.31,17.33,57,TREND KIRILIMI (SMA 20 Altı)
AMZN,2025-08-20,-3.98,-2.96,1,TREND KIRILIMI (SMA 20 Altı)
TXN,2025-09-03,-4.73,-3.67,14,TREND KIRILIMI (SMA 20 Altı)
AAPL,2025-09-10,-3.96,-2.86,23,TREND KIRILIMI (SMA 20 Altı)
AMZN,2025-09-12,-2.87,-1.98,2,TREND KIRILIMI (SMA 20 Altı)
AVGO,2025-09-25,11.8,8.55,22,TREND KIRILIMI (SMA 20 Altı)
GOOGL,2025-09-30,38.99,30.27,82,TREND KIRILIMI (SMA 20 Altı)
GOOG,2025-09-30,21.79,16.21,42,TREND KIRILIMI (SMA 20 Altı)
AAPL,2025-10-10,4.33,3.02,28,TREND KIRILIMI (SMA 20 Altı)
MSFT,2025-10-10,-3.44,-2.39,10,TREND KIRILIMI (SMA 20 Altı)
TSLA,2025-10-10,-11.62,-8.06,10,TREND KIRILIMI (SMA 20 Altı)
NVDA,2025-10-14,0.12,0.08,19,TREND KIRILIMI (SMA 20 Altı)
NFLX,2025-10-16,-5.58,-4.09,6,TREND KIRILIMI (SMA 20 Altı)
AVGO,2025-10-22,-2.99,-2.24,8,TREND KIRILIMI (SMA 20 Altı)
AMGN,2025-10-23,-0.4,-0.29,13,TREND KIRILIMI (SMA 20 Altı)
MSFT,2025-10-31,-2.2,-1.66,8,TREND KIRILIMI (SMA 20 Altı)
INTC,2025-11-04,0.61,0.44,25,TREND KIRILIMI (SMA 20 Altı)
AMZN,2025-11-14,-9.36,-6.99,10,TREND KIRILIMI (SMA 20 Altı)
AAPL,2025-11-17,2.54,1.92,26,TREND KIRILIMI (SMA 20 Altı)
AMGN,2025-12-05,-3.26,-2.47,21,TREND KIRILIMI (SMA 20 Altı)
